MASTER COPY		ODD YEARS (If 2-year Cycle)			EVEN YEARS (If 2-year Cycle)		
DATE	HOLY DAY	MP PSALM	MP LESSON 1	MP LESSON 2	EP PSALM	EP LESSON 1	EP LESSON 2
08-01		78:41-73	1 Sam 21	Rom 2	80	Neh 12 † 27-47	John 6:22-40
08-02		81	1 Sam 22	Rom 3	83	Neh 13 † 1-22,30-31	John 6:41-end
08-03		84	1 Sam 23	Rom 4	85	Hos 1	John 7:1-24
08-04		86, 87	1 Sam 24	Rom 5	88	Hos 2	John 7:25-52
08-05		89:1-18	1 Sam 25 † 1-19,23-25,32-42	Rom 6	89:19-52	Hos 3	John 7:53—8:30
08-06	Transfiguration	27	Rom 7	Mark 9:2-10	80	Hos 4	John 8:31-end
08-07		90	1 Sam 26	Rom 8:1-17	91	Hos 5	John 9
08-08		92, 93	1 Sam 27	Rom 8:18-end	94	Hos 6	John 10:1-21
08-09		95, 96	1 Sam 28	Rom 9	97, 98	Hos 7	John 10:22-end
08-10		99, 100, 101	1 Sam 29	Rom 10	102	Hos 8	John 11:1-44
08-11		103	1 Sam 30 † 1-25	Rom 11	104	Hos 9	John 11:45-end
08-12		105:1-22	1 Sam 31	Rom 12	105:23-45	Hos 10	John 12:1-19
08-13		106:1-18	2 Sam 1	Rom 13	106:19-48	Hos 11	John 12:20-end
08-14		107:1-22	2 Sam 2 † 1-17,26-31	Rom 14	107:23-43	Hos 12	John 13
08-15	Mary the Virgin	108, 110	2 Sam 3 † 6-11,17-39	Luke 1:26-38	109	Hos 13	John 14:1-14
08-16		111, 112	2 Sam 4	Rom 15	113, 114	Hos 14	John 14:15-end
08-17		115	2 Sam 5	Rom 16	116, 117	Joel 1	John 15:1-17
08-18		119:1-24	2 Sam 6	Phil 1:1-11	119:25-48	Joel 2 † 1-17,28-32	John 15:18-end
08-19		119:49-72	2 Sam 7	Phil 1:12-end	119:73-88	Joel 3	John 16:1-15
08-20		119:89-104	2 Sam 8	Phil 2:1-11	119:105-128	Amos 1	John 16:16-end
08-21		119:129-152	2 Sam 9	Phil 2:12-end	119:153-176	Amos 2	John 17
08-22		118	2 Sam 10	Phil 3	120, 121	Amos 3	John 18:1-27
08-23		122, 123	2 Sam 11	Phil 4	124, 125, 126	Amos 4	John 18:28-end
08-24	Bartholomew	127, 128	Col 1:1-20	Luke 6:12-16	129, 130, 131	Amos 5	John 19:1-37
08-25		132, 133	2 Sam 12 † 1-25	Col 1:21—2:7	134, 135	Amos 6	John 19:38-end
08-26		136	2 Sam 13 † 1-29,38-39	Col 2:8-19	137, 138	Amos 7	John 20
08-27		139	2 Sam 14 † 1-21,28	Col 2:20—3:11	141, 142	Amos 8	John 21
08-28		140	2 Sam 15 † 1-18,23-25,32-34	Col 3:12-end	143	Amos 9	Matt 1:1-17
08-29		144	2 Sam 16	Col 4	145	Obadiah	Matt 1:18-end
08-30		146	2 Sam 17 † 1-23	Philemon	147	Jonah 1	Matt 2
08-31		148	2 Sam 18 † 1-15,19-33	Eph 1:1-14	149, 150	Jonah 2	Matt 3
09-01		1, 2	2 Sam 19 † 1-30	Eph 1:15-end	3, 4	Jonah 3	Matt 4
09-02		5, 6	2 Sam 20	Eph 2:1-10	7	Jonah 4	Matt 5:1-20
09-03		9	2 Sam 21	Eph 2:11-end	10	Mic 1	Matt 5:21-48
09-04		8, 11	2 Sam 22 † 1-7,14-20,32-51	Eph 3	15, 16	Mic 2	Matt 6:1-18
09-05		12, 13, 14	2 Sam 23 † 1-23	Eph 4:1-16	17	Mic 3	Matt 6:19-end
09-06		18:1-20	2 Sam 24	Eph 4:17-end	18:21-50	Mic 4	Matt 7
09-07		19	1 Chron 22	Eph 5:1-17	20, 21	Mic 5	Matt 8:1-17
09-08		22	1 Kings 1 † 1-18,29-40	Eph 5:18-end	23, 24	Mic 6	Matt 8:18-end
09-09		25	1 Chron 28	Eph 6	27	Mic 7	Matt 9:1-17
09-10		26, 28	1 Kings 2 † 1-25	Heb 1	31	Nahum 1	Matt 9:18-34
09-11		29, 30	1 Kings 3	Heb 2	33	Nahum 2	Matt 9:35—10:23
09-12		34	1 Kings 4 † 1-6,20-34	Heb 3	35	Nahum 3	Matt 10:24-end
09-13		32, 36	1 Kings 5	Heb 4:1-13	38	Hab 1	Matt 11
09-14	Holy Cross	37:1-18	Heb 4:14—5:10	John 12:23-33	37:19-42	Hab 2	Matt 12:1-21
09-15		40	1 Kings 6 † 1-7,11-30,37-38	Heb 5:11—6 end	39, 41	Hab 3	Matt 12:22-end
09-16		42, 43	1 Kings 7 † 1-14,40-44,47-51	Heb 7	44	Zeph 1	Matt 13:1-23
09-17		45	1 Kings 8 † 1-11,22-30,54-63	Heb 8	46	Zeph 2	Matt 13:24-43
09-18		47, 48	1 Kings 9 † 1-9,15-28	Heb 9:1-14	49	Zeph 3	Matt 13:44-end
09-19		50	1 Kings 10 †1-13,23-29	Heb 9:15-end	51	Hag 1	Matt 14
